idea_id,market_size,previous_startups,founder_industry_fit,has_patent_or_ip,problem_uniqueness,competition_level,execution_risk,funding_required_usd,time_to_market_months,predicted_success_score
ID_001,910,3,6,1,3,Medium,10,1923,2,41.25
ID_002,3822,0,8,0,10,Medium,8,847,9,56.76
ID_003,3142,2,9,0,7,Medium,6,1408,18,55.24
ID_004,516,3,4,0,10,Medium,8,908,4,42.69
ID_005,4476,3,1,1,5,Low,5,484,21,74.79
ID_006,3494,1,1,0,10,Low,8,496,16,57.44
ID_007,3221,2,10,1,5,Medium,10,1381,16,60.81
ID_008,2969,2,4,0,7,High,4,298,23,49.86
ID_009,180,0,7,0,9,Medium,10,215,15,33.27
ID_010,1735,2,2,0,5,Low,8,1554,15,39.75
ID_011,819,0,3,0,1,Medium,10,1033,3,18.04
ID_012,2441,2,1,0,10,Medium,2,1408,14,50.53
ID_013,2483,1,5,0,10,Low,5,1069,15,55.47
ID_014,1234,2,1,1,1,Medium,9,591,20,37.6
ID_015,4605,0,8,0,2,Medium,4,808,8,52.6
ID_016,3435,0,1,1,6,Medium,6,1179,4,51.69
ID_017,4167,1,1,1,9,Medium,1,1636,16,65.95
ID_018,4893,2,2,0,8,Low,9,130,15,67.79
ID_019,2954,2,2,0,5,Low,1,182,12,57.46
ID_020,524,1,6,0,1,Low,5,846,16,32.05
ID_021,1132,2,7,0,7,High,4,949,14,39.4
ID_022,2608,2,5,0,5,High,3,187,19,46.86
ID_023,2097,0,1,0,6,Medium,6,233,7,37.21
ID_024,2797,2,1,0,7,High,2,1474,4,42.92
ID_025,1025,2,3,0,3,Medium,3,1403,20,32.81
ID_026,1856,1,2,1,10,Medium,5,834,16,54.59
ID_027,239,1,5,0,3,Medium,9,1581,6,21.59
ID_028,2784,3,10,1,5,Low,2,1925,11,70.49
ID_029,3055,0,6,1,6,Low,10,1033,8,56.96
ID_030,4708,2,7,0,9,Medium,8,118,18,68.97
ID_031,1949,2,4,1,5,Medium,2,595,8,56.13
ID_032,1317,3,7,0,1,Low,5,1847,23,40.73
ID_033,1578,2,8,0,4,High,7,102,13,39.5
ID_034,3252,0,1,0,5,Medium,8,1523,18,36.3
ID_035,3606,3,6,0,10,Low,1,254,14,75.93
ID_036,3940,0,8,1,10,High,6,175,21,66.48
ID_037,696,3,5,0,5,High,1,1820,5,34.1
ID_038,2938,3,4,0,7,High,2,92,11,55.28
ID_039,2485,1,2,0,4,Low,1,1825,4,43.65
ID_040,650,0,6,0,1,Medium,5,1956,10,20.32
ID_041,2413,2,6,0,5,Medium,10,160,14,46.54
ID_042,2111,2,1,1,7,Medium,9,810,19,51.05
ID_043,291,0,9,0,10,High,6,1736,16,29.74
ID_044,2091,2,6,0,10,Medium,1,1256,5,54.75
ID_045,2874,2,3,0,6,High,1,897,16,46.8
ID_046,2662,0,4,1,5,High,2,144,23,50.43
ID_047,1413,3,4,0,4,High,9,1447,3,31.3
ID_048,1528,0,3,0,2,Medium,3,1985,16,25.47
ID_049,2606,3,10,0,4,Low,1,1593,9,59.91
ID_050,825,2,3,0,10,Medium,5,949,9,42.31
ID_051,4064,2,3,1,10,High,7,409,18,67.27
ID_052,84,2,4,0,3,Low,6,949,13,32.61
ID_053,3202,1,7,0,10,Medium,1,1769,20,57.16
ID_054,2005,3,4,1,1,Low,5,330,11,57.54
ID_055,1635,1,9,0,8,Medium,5,1268,10,45.64
ID_056,3993,1,1,0,5,High,6,1937,6,39.03
ID_057,3123,0,8,0,4,High,3,1268,7,40.73
ID_058,1071,1,7,0,8,Low,5,716,21,47.32
ID_059,3511,0,2,0,7,High,7,142,3,42.78
ID_060,2663,0,8,0,2,Medium,5,721,14,40.52
ID_061,3893,1,1,1,1,Medium,5,110,7,55.03
ID_062,1550,3,9,0,4,Medium,5,683,6,47.99
ID_063,4848,3,9,0,8,Medium,10,1124,2,68.37
ID_064,211,3,2,0,2,Medium,10,1476,22,23.23
ID_065,4347,3,7,0,3,Medium,3,1862,23,58.35
ID_066,2031,3,10,0,1,Low,1,1078,22,53.89
ID_067,1045,1,3,0,1,Medium,5,1539,7,24.58
ID_068,4961,1,7,0,3,Medium,9,653,7,55.4
ID_069,3392,2,10,0,5,Low,1,731,17,66.03
ID_070,4601,3,9,0,3,Medium,3,1902,5,61.72
ID_071,3848,1,4,0,1,Medium,4,583,12,46.74
ID_072,1325,2,1,0,1,Medium,1,1478,10,30.82
ID_073,1066,3,2,0,8,Medium,1,887,4,46.32
ID_074,387,0,1,0,10,High,8,1586,20,21.37
ID_075,928,2,5,1,2,Medium,2,694,9,46.13
ID_076,1126,1,5,0,3,Medium,8,282,6,32.53
ID_077,4937,0,7,1,2,Low,7,573,5,67.22
ID_078,4043,0,9,0,3,Medium,10,395,7,48.78
ID_079,4909,0,9,0,7,Medium,10,1119,3,57.26
ID_080,429,2,3,1,1,Low,2,595,21,45.01
ID_081,542,1,3,0,10,Medium,6,1151,12,35.77
ID_082,2112,0,3,1,8,Medium,6,1803,5,46.41
ID_083,3934,3,4,1,10,High,3,1886,16,68.28
ID_084,114,0,8,0,10,High,2,1996,7,29.7
ID_085,2618,0,6,0,10,Medium,1,1146,23,51.66
ID_086,2077,2,8,1,2,Medium,6,843,18,52.47
ID_087,2745,2,1,0,3,Low,5,298,7,48.77
ID_088,1545,1,8,0,9,High,9,96,20,41.99
ID_089,441,3,4,1,7,High,1,1194,3,46.92
ID_090,4564,2,1,0,4,Low,7,263,16,59.81
ID_091,4524,0,8,1,10,Medium,5,288,12,75.31
ID_092,3611,1,4,1,5,Low,5,1129,9,63.52
ID_093,2328,0,6,0,2,Low,2,399,20,44.97
ID_094,3149,0,8,0,8,Low,3,156,14,61.06
ID_095,250,2,4,0,4,Low,7,880,13,34.62
ID_096,4925,1,3,0,9,High,6,97,6,59.52
ID_097,3154,3,9,0,5,Medium,2,1646,7,57.75
ID_098,4648,3,3,0,9,Medium,6,386,23,68.44
ID_099,2504,2,9,0,4,Medium,2,1099,5,51.07
ID_100,3695,2,2,0,10,High,2,853,20,56.14
